VI Name,Status,Original Country,Primary Posting Language,First Appearance,Type (Mimic-real human/Animated human/Non-human),Brand?(Y/N),Sex,Instagram Handle,Instagram Followers (K),YouTube Channel,YouTube Followers (K),Twitter Handle,Twitter Followers (K),Spotify listeners (K),Facebook followers(K),TikTok followers (K),TikTok Likes (K),Area of Influence,Comments
Hatsune Miku,Active,Japan,Japanese,2007,Animated human,N,Female,miku_expo,NA,HatsuneMiku,1810,cfm_miku,273.8,1390,2400,101.4,42.2,"Music, Merchandise",Official Instagram account has no content now though it was launched in 2016. I have excluded non brand affiliated Insta accounts which have a lot of followers
Eugene,Active,UK,English,2019,Non-human,Y,NA,world_record_egg,5056,NA,NA,the_talking_egg,0.808,NA,NA,NA,NA,Advertising,Happy Yolk agency
Lu of Magalu,Active,Brazil,Portuguese,2009,Mimic-real human,Y,Female,magazineluiza,5488,Canal da Lu - Magalu,2510,magazineluiza,1300,NA,14540,3700,33100,Merchandise,The account is also of regular posts of the magazine and not just of VI activities
Miquela Sousa,Active,USA,English,2016,Mimic-real human,N,Female,lilmiquela,3032,Miquela,268,lilmiquela,30.3,223,1207,3200,35000,"Fashion, Music",
Cade Harper,Deceased,USA,English,2018,Mimic-real human,N,Male,cadeharper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The account is deceased and has been taken over bt The Pocket Pack
Ruby Gloom,Deceased,Hong Kong,English,2012,Mimic-real human,N,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, Art","Though she has garnered real life commercials, her visibility on social media is virtually nonexistent"
Barbie,Active,USA,English,1959,Animated human,Y,Female,barbie,1965,Barbie,10000,Barbie,290.5,314,14602,NA,NA,"Merchandise, Music, Movies",The most popular female doll now also posts and makes videos as a Vi but the official accounts also have a lot of regular promotional content. Not a regular VI
Kei Wells,Deceased,USA,English,2019,Animated human,N,Female,thatgirldad,NA,NA,NA,NA,NA,NA,NA,NA,NA,Music,Deceased. Project fell apart
Guggimon,Active,Canada,English,2019,Non-human,Y,NA,guggimon,1381,Guggimon,22.3,guggimon,6.648,NA,NA,NA,NA,"Merchandise (Toys), Art, Fashion","Largely inactive on Twitter, YouTube, TikTok"
Knox Frost,Active,USA,English,2019,Mimic-real human,N,Male,knoxfrost,735,NA,NA,NA,NA,NA,NA,NA,NA,NGO Partner,Has campaigned for WHO
Janky,Active,Canada,English,2019,Non-human,Y,NA,janky,787,Superplastic,32.8,janky,0.23,NA,NA,NA,NA,"Merchandise (Toys), Art, Fashion",
K/DA,Active,USA,English,2019,Animated human,Y,Female,kda_music,572,K/DA,78.2,KDA_MUSIC,439.7,2638,NA,260.1,1400,Music & Gaming,Virtual Band with released albums
Any Malu,Active,Brazil,Portuguese,2015,Animated human,N,Female,anymalu_real,519,O (sur)real mundo de Any Malu,3280,AnyMalu_Real,30.6,NA,82.9,1100,7900,"Vtuber, TV",
Seraphine Song,Dormant,USA,English,2020,Animated human,N,Female,seradotwav,439,NA,NA,seradotwav,352.4,235,NA,NA,NA,Music & dance,Wrote in Nov 2020 that she is taking a break
Daisy Yoox,Active,Italy,English,2018,Mimic-real human,Y,Female,yoox,574,NA,NA,NA,NA,NA,NA,NA,NA,Fashion,
Thalasya,Active,Indonesia,Indonesian,2018,Mimic-real human,Y,Female,thalasya_,488,#POV,26.1,NA,NA,0.003,0.066,0.38,1.7,"Model, Fashion, Travel, Music",No posts since December 2020
Anna Cattish,Active,Russia,English,2011,Animated human,N,Female,anna_cattish,484,NA,NA,NA,NA,NA,29.7,NA,NA,"Art, merchandise",
Noonoouri,Active,Germany,English,2018,Animated human,N,Female,noonoouri,379,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, Sustainability",
Imma,Active,Japan,English,2018,Mimic-real human,N,Female,imma.gram,341,NA,NA,imma_tw,7.8,NA,NA,NA,NA,"Fashion, Model",
Dayzee and Staxx,Active,USA,English,2020,Non-human,N,NA,dayzeeandstaxx,429,NA,NA,NA,NA,NA,NA,NA,NA,"Merchandise, Advertising",
Bee Influencer,Active,France,English,2019,Non-human,N,NA,bee_nfluencer,288,NA,NA,bee_nfluencer,0.789,NA,NA,NA,NA,"Bees, Sustainability",
Leya Love,Active,Unknown,English,2020,Mimic-real human,N,Female,leyalovenature,296,NA,NA,NA,NA,0.03,0.588,0.02,0.159,"World Awareness Movement, Merchandise",Added in March
Bermuda,Dormant,USA,English,2016,Mimic-real human,N,Female,bermudaisbae,287,Bermuda,3.13,bermudaisbae,1.6,0.626,NA,48.7,142.4,Fashion,Twitter is now largely inactive. No Insta posts in 6 months
Kizuna AI,Active,Japan,Japanese,2016,Animated human,N,Female,a.i.channel_official,231,A.I.Channel,2980,aichan_nel,604.1,129,481,NA,NA,Music,She has multiple YouTube channels and follower count of only oldest primary channel is listed here
Shudu Gram,Active,England,English,2017,Mimic-real human,N,Female,shudu.gram,218,NA,NA,NA,NA,NA,2,NA,NA,"Virtual model, Fashion",
Livinthefuture,Active,Unknown,English,2019,Animated human,N,Female,livinthefuture,172,NA,NA,NA,NA,NA,NA,NA,NA,Animation (indirectly),Just announced a break
Qai Qai,Active,USA,English,2018,Animated human,N,NA,realqaiqai,333,NA,NA,RealQaiQai,25.7,NA,2,2900,24100,Merchandise (Toys),
Body by Ralph,Dormant,USA,English,2018,Animated human,N,Male,bodybyralph,173,NA,Unknown,NA,NA,NA,NA,NA,NA,Fitness,
FN Meka,Active,USA,English,2019,Mimic-real human,N,Male,fnmeka,198,FNMeka,8.38,NA,NA,1.024,NA,9900,124800,Music,Instagram account suddenly went private in March 2021
Hripsy and Colina,Active,Australia,English,2019,Mimic-real human,N,Female,hrispyandcolina,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fashion,Run by actual twins with same name. VI looks different from real twins. Seems deceased. Account no longer exists
Astrolovesu,Active,USA,English,2018,Animated human,N,NA,astrolovesu,118,astrolovesu,0.433,NA,NA,0.244,NA,NA,NA,Animation (indirectly),
Ronald F. Blawko,Dormant,USA,English,2017,Mimic-real human,N,Male,blawko22,148,Blawko22,4.99,blawko22,1.8,NA,NA,NA,NA,Fashion,No Insta posts in the last six months
Epiphenus,Dormant,USA,English,2019,Animated human,N,Male,epiphenus,109,NA,NA,NA,NA,NA,NA,NA,NA,Animation (indirectly),No insta Posts in the last one year
Ryan,Active,Korea,Korean,2019,Non-human,Y,NA,ryan.seoul.icon,168,NA,NA,NA,NA,NA,NA,NA,NA,Chatting software,
Mar.ia,Active,Mexico,Spanish,2020,Mimic-real human,N,Female,soymar.ia,109,NA,NA,NA,NA,NA,NA,NA,NA,"Sustainability, Mexico",
Pete Zaroll,Active,USA,English,2014,Non-human,Y,Male,totinos,112,NA,NA,totinos,162.9,NA,472.18,244.5,2400,Food,
Amara,Dormant,Mongolia,Mongolian,2020,Mimic-real human,N,Female,amara_gram,89.5,NA,NA,NA,NA,NA,2.9,NA,NA,"Fashion, Model",No insta posts in the last 5 months
Teflon Sega,Active,USA,English,2018,Animated human,N,Male,teflonsega,102,Teflon Sega,88.8,NA,NA,236.6,3.5,NA,NA,Music,
Nana the Shrimp,Dormant,USA,English,2017,Animated human,N,Female,nana.the.shrimp,71.1,NANA the SHRIMP,5.62,nana_shrimp,0.1,9.6,NA,NA,NA,"Fashion, Model",No posts since 2019
Binxie,Active,USA,English,2019,Mimic-real human,N,Female,itsbinxie,71.1,NA,NA,itsbinxie,0.13,NA,0.139,0.12,0.21,Fashion,
WarNymph,Active,Unknown,English,2018,Avatar,N,Female,warnymph,68.3,NA,NA,WarNymph,11.7,0.8,NA,NA,NA,"Fashion, Music",Is avatar of singer Grimes
The Pocket Pack,Active,Unknown,English,2020,Animated human,Y,Male,thepocketpack,68.2,NA,NA,NA,NA,NA,NA,0.03,0.05,Kids,Added in March
Suzu-Chi,Dormant,Russia,Russian,2019,Non-human,N,NA,soozuchi,49.6,NA,NA,NA,NA,1.254,NA,NA,NA,"Music, Cars",No insta posts in the last 8 months
Ion Göttlich,Active,Unknown,English,2015,Mimic-real human,N,Male,iongottlich,54,Ion Göttlich,12.1,iongottlich,2.058,NA,55,33.4,197.4,Cycling,
Crazynho,Active,Brazil,Portuguese,2020,Non-human,N,NA,crazynho,48.7,NA,NA,NA,NA,NA,NA,606,2300,Unknown,Added in March
Serah Reikka,Active,France,English,2010,Mimic-real human,N,Female,serahreikka,51.3,SeraH Reikka,0.051,SerahReikka,0.243,NA,2.9,NA,NA,"Fashion, Model",She gets a lot of comments asking for collab and for DM for modelling merchandise
Plastic Boy,Active,Japan,Japanese,2018,Mimic-real human,N,Male,plusticboy,50.2,NA,NA,plusticboy,0.769,NA,NA,NA,NA,"Fashion, Model",
Esther Olofsson,Active,Netherlands,English,2020,Mimic-real human,N,Female,esther.olofsson,46.5,NA,NA,EstherOlofsson,0.028,,,,,"Fashion, Model",Does not have much comment activity
Chill Pill,Active,Unknown,English,2017,Non-human,N,NA,iamchillpill,56,iamchillpill,15.2,iamchillpill,0.2,99.563,NA,12.1,72.3,"Music, Merchandise",Has deleted all past posts on Instagram but is posting; so now has has one post up dated April 1 2021
Anna Oop,Active,Unknown,English,2019,Animated human,N,Female,annaoop.yt,42.6,anna oop,1970,annaoop_yt,21.3,NA,NA,3.2,50.8,Vtuber,
Jedy Vales,Active,USA,English,2019,Mimic-real human,Y,Female,jedyvales,39.4,NA,NA,jedyvales,40.7,NA,NA,NA,NA,Pornography,For YouPorn
Ria,Active,Japan,Japanese,2019,Mimic-real human,N,Female,ria_ria_tokyo,35.8,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, model, Japan",
Pol Songs,Active,Spain,English,2020,Mimic-real human,N,Male,pol.songs,31.4,NA,NA,NA,NA,0.426,NA,0.978,1.033,Music,
Birdsoup,Active,USA,English,2019,Non-human,N,NA,birdsoup,33.4,NA,NA,NA,NA,NA,34.766,NA,NA,Merchandise,
Ai Angelica,Active,USA,English,2010,Mimic-real human,N,Female,ai_angelica,28.4,Ai Angel,731,AiAngel13,18.5,NA,3.2,89.7,751.7,Gaming,
Liv Os,Dormant,Mexico,Spanish,2019,Mimic-real human,N,Female,soylivos,21.3,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, Advertising",A YouTube channel with 1.15M subscribers of Team OS exists which has the creator team's videos
Nobody Sausage,Active,Portugal,English,2020,Non-human,N,NA,nobodysausage,1983,nobody sausage,97.4,nobodysausage,0.473,NA,0.951,9500,101.3,Merchandise,
Kenna,Dormant,USA,English,2019,Mimic-real human,Y,Female,thisis.kenna,19,NA,NA,NA,NA,NA,NA,NA,NA,Cosmetics,No posts since March 2020
Zoe Dvir,Active,Israel,English,2019,Mimic-real human,N,Female,zoedvir,28.5,NA,NA,NA,NA,NA,0.037,NA,NA,"Sustainability, Fashion",Defunct Facebook page
Yameii Online,Active,USA,English,2018,Animated human,N,Female,yameiionline,54.3,NA,NA,NA,NA,NA,NA,NA,NA,"Music, Merchandise",
Shy Yume,Active,USA,English,2019,Mimic-real human,Y,Female,shy.yume,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pornography,Seems deceased. Account no longer exists
Officer B. Nice,Dormant,USA,English,2019,Animated human,N,Male,officerbnice,21.4,NA,NA,NA,NA,NA,NA,NA,NA,"Police, suicide prevention",No posts in an year
Lila,Active,Turkey,Turkish,2020,Mimic-real human,N,Female,lilaziyagil,51.2,NA,NA,NA,NA,NA,NA,NA,NA,Fashion,
Aliza Rex,Active,USA,English,2019,Mimic-real human,N,Female,alizarexx,21,NA,NA,NA,NA,NA,0.135,NA,NA,"Fashion, model",
GEICO Gecko,Active,USA,English,2000,Non-human,Y,NA,thegeicogecko,26.6,NA,NA,TheGEICOGecko,33.8,NA,245.6,8.065,0,Insurance,No content on TikTok
Noodle and Bun,Active,Unknown,English,2020,Non-human,N,NA,noodle_and_bun,26.4,Noodle and Bun,85.6,Noodle_and_bun,0.13,NA,NA,4500,43300,Vtuber,
Rozy Oh,Active,Korea,Korean,2020,Mimic-real human,N,Female,rozy.gram,45.4,NA,NA,NA,NA,NA,NA,NA,NA,Fashion,
Ruby Green,Dormant,Unknown,English,2018,Mimic-real human,N,Female,ruby.economics,12.8,NA,NA,NA,NA,NA,NA,NA,NA,Economics(education),No posts since July 2020
Maya Maya,Dormant,Russia,Russian,2017,Mimic-real human,N,Female,maya_cgi,17.4,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, Art, technology",No Insta activity since December 2019
Zeline,Active,Indonesia,Indonesian,2019,Mimic-real human,N,Female,zeline_pov,15.7,NA,NA,NA,NA,NA,NA,NA,NA,Fashion & Merchandise,
Aliona Pole,Active,Russia,Russian,2018,Mimic-real human,N,Female,aliona_pole,15.9,NA,NA,AlionaPole,0.003,NA,NA,NA,NA,Fashion,Twitter account is defunct
Lil Wavi,Dormant,England,English,2018,Mimic-real human,Y,Male,lil_wavi,14.8,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, model",No insta posts in the last  months
Liam Nikuro,Active,Japan,English,2019,Mimic-real human,N,Male,liam_nikuro,13.4,NA,NA,liam_nikuro,1.632,NA,NA,NA,NA,"Fashion, Advertising",
Ezmusgita,Active,Turkey,English,2017,Mimic-real human,N,Female,ezmusgita,14,NA,NA,NA,NA,0.483,NA,NA,NA,"Music, Art, Fashion, Crypto",Added in March
John Pork,Active,Italy,English,2018,Non-human,N,Male,john.pork,14.4,NA,NA,NA,NA,NA,NA,NA,NA,Travel,
Koffi Gram,Active,England,English,2019,Mimic-real human,N,Male,koffi.gram,18.6,NA,NA,NA,NA,NA,NA,NA,NA,Digital Art,
Aoi Prism,Dormant,Japan,Japanese,2019,Mimic-real human,N,Female,aoiprism,12.6,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, model",No posts since October 2020
Iam,Deceased,Hong Kong,English,2019,Mimic-real human,N,Female,iam.3d,13.1,NA,NA,NA,NA,NA,NA,NA,NA,Fashion,Seems deceased. Account no longer exists
Aili,Active,Lithuania,Lithuanian,2019,Mimic-real human,Y,Female,labasrodo,12.7,NA,NA,NA,NA,NA,NA,NA,NA,Telecom,
J-Nice Prempelli,Dormant,USA,English,2017,Mimic-real human,N,Female,opalslutuniverse,12.8,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, model",No insta posts in the last 8 months
Scazy Boy,Active,Russia,Russian,2017,Non-human,N,Male,scazy,11.6,NA,NA,NA,NA,NA,0.017,NA,NA,Advertising,
Phoenix McEwan,Active,England,English,2019,Mimic-real human,N,Male,phoenixmcewan,11,NA,NA,NA,NA,NA,31.234,0.05,0.313,"Car racing, Merchandise",Virtual racing driver
Ella Stoller,Active,Israel,English,2019,Mimic-real human,N,Female,itsellastoller,10.6,NA,NA,NA,NA,NA,NA,6.293,17.3,"Fashion, model",Digital model. She posts in English but comments re mostly in Yiddish
Perl,Deceased,Japan,NA,2018,Mimic-real human,N,Female,perl.www,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, Model",Insta page no longer exists. Seems dead
Lil' Vee,Dormant,USA,English,2019,Animated human,N,Male,lilvee,9.1,Lil Vee,11.1,NA,NA,NA,NA,NA,NA,TV show,No posts since mid 2019
8ubbles,Active,USA,English,2020,Non-human,N,NA,8ubblesmusic,9.5,8ubbles,4.72,8ubblesmusic,1.8,63.565,1.01,291.2,630.7,Music,Added in March
Alice Mikoni,Dormant,Poland,Polish,2019,Mimic-real human,N,Female,alicemikoni,8.7,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, Model",No posts since March 2020
Maya Gram,Dormant,Southeast Asia,English,2020,Mimic-real human,Y,Female,mayaaa.gram,8.1,NA,NA,NA,NA,NA,NA,NA,NA,"Advertising, Merchandise",No posts since August 2020
Lewis Newman,Dormant,Japan,Japanese,2019,Mimic-real human,Y,Male,lewis_hiro_newman,9.3,NA,NA,NA,NA,NA,NA,NA,NA,"Fashion, model",Avatar. Cannot be considered VI. No posts since October 2020
Baby Elis,Dormant,Sweden,Swedish,2019,Mimic-real human,N,Male,bebiselis,6,NA,NA,NA,NA,NA,NA,NA,NA,Children,No posts since September 2020
